,unigram,count
721,counselor,389
722,legally,388
723,criminal,388
724,understanding,387
725,finish,386
726,sheriff,386
727,asset,386
728,allege,384
729,debit,384
730,power,383
731,originate,381
732,play,381
733,defer,379
734,nightmare,378
735,walk,378
736,arrangement,378
737,major,378
738,login,378
739,mess,377
740,death,375
741,tenant,372
742,event,371
743,till,370
744,intentionally,369
745,produce,367
746,hour,365
747,contain,365
748,ex,364
749,share,363
750,calculation,363
751,shortly,362
752,build,362
753,suit,362
754,control,362
755,obviously,362
756,stub,361
757,unethical,360
758,unacceptable,360
759,dual,360
760,drag,359
761,subsequently,359
762,limit,357
763,frame,357
764,constantly,357
765,financially,357
766,rep,356
767,search,355
768,underwrite,354
769,cut,354
770,lien,354
771,possibly,352
772,formal,351
773,private,351
774,unpaid,350
775,possession,350
776,compliance,349
777,significant,349
778,pocket,349
779,ongoing,348
780,mark,348
781,quickly,348
782,judgment,348
783,scam,347
784,minimum,347
785,guarantee,346
786,investment,346
787,messenger,345
788,sincerely,345
789,mind,344
790,finalize,344
791,left,343
792,endorse,342
793,verbally,341
794,reimburse,341
795,portion,341
796,dismiss,340
797,filing,340
798,hop,340
799,select,339
800,truth,338
801,mediation,338
802,woman,338
803,ago,337
804,destroy,337
805,sufficient,336
806,adjustment,336
807,deliver,335
808,unapplied,335
809,engage,333
810,consideration,333
811,waste,333
812,computer,332
813,electronic,331
814,land,331
815,thought,330
816,license,329
817,example,328
818,important,328
819,appropriate,328
820,upset,327
821,entitle,327
822,assistant,326
823,similar,325
824,intend,325
825,motion,324
826,opinion,323
827,corporate,323
828,standing,322
829,grace,322
830,data,321
831,borrow,321
832,executive,320
833,cease,319
834,couple,318
835,retirement,318
836,senior,317
837,chase,316
838,sum,316
839,resubmit,316
840,hazard,315
841,organization,315
842,gross,315
843,alternative,315
844,prepare,314
845,ridiculous,314
846,abuse,314
847,summary,313
848,touch,313
849,official,313
850,procedure,313
851,staff,312
852,assumption,312
853,nearly,310
854,frustrate,310
855,decrease,309
856,parent,309
857,affidavit,309
858,loose,308
859,extend,307
860,surprise,307
861,age,306
862,draw,304
863,pursuant,304
864,construction,303
865,threat,303
866,match,303
867,enclose,302
868,friend,301
869,retain,300
870,behavior,300
871,probably,300
872,harm,299
873,provider,299
874,negligence,299
875,lady,298
876,sort,297
877,class,297
878,stall,296
879,audit,295
880,lease,292
881,maybe,292
882,reinstatement,291
883,man,291
884,center,291
885,interested,291
886,incomplete,290
887,submission,290
888,product,290
889,country,290
890,accrue,290
891,game,290
892,outside,290
893,middle,288
894,supposedly,288
895,detailed,287
896,quite,287
897,verbal,286
898,shock,286
899,likely,285
900,greatly,285
901,unemployment,285
902,quit,284
903,building,284
904,discrepancy,283
905,excess,283
906,happy,283
907,rectify,282
908,fear,282
909,terminate,282
910,participate,282
911,block,282
912,town,280
913,harassment,280
914,view,279
915,internal,279
916,foot,278
917,huge,278
918,progress,277
919,listen,277
920,consistently,276
921,continually,276
922,truly,273
923,hearing,273
924,horrible,273
925,fraudulently,272
926,builder,272
927,special,271
928,void,271
929,rescind,271
930,counter,271
931,school,270
932,acceptable,269
933,express,269
934,breach,267
935,unprofessional,267
936,ultimately,266
937,pick,265
938,disregard,265
939,main,265
940,recommend,265
941,amortization,265
942,replace,265
943,cell,264
944,professional,264
945,living,264
946,theft,263
947,potential,262
948,overage,261
949,repay,259
950,writing,259
951,sorry,258
952,unnecessary,256
953,excellent,256
954,employer,255
955,key,255
956,picture,255
957,piece,254
958,cashier,253
959,book,253
960,generate,253
961,treatment,252
962,print,252
963,spouse,252
964,employ,251
965,sister,251
966,instrument,251
967,invoice,250
968,advice,248
969,box,248
970,retire,247
971,award,247
972,litigation,247
973,easy,247
974,homeless,247
975,source,246
976,hello,246
977,citizen,244
978,rest,244
979,dear,243
980,significantly,243
981,die,243
982,negotiator,243
983,appointment,243
984,group,243
